,video_time_stamp,blink_counter,Emotion,list_of_emotions
68,00:01:08,92,happy,"{'emotion': {'angry': 0.01206288363291034, 'disgust': 1.7808191907620013e-06, 'fear': 0.08556843530129668, 'happy': 95.12334524114785, 'sad': 0.0006059432240161274, 'surprise': 1.1732058132343515, 'neutral': 3.6052088612069055}, 'dominant_emotion': 'happy'}"
69,00:01:09,94,sad,"{'emotion': {'angry': 0.013582680385016753, 'disgust': 2.4176485836921e-11, 'fear': 0.057500978130730615, 'happy': 0.030007396041465278, 'sad': 99.75016716120635, 'surprise': 2.072871765820371e-08, 'neutral': 0.14873875161766986}, 'dominant_emotion': 'sad'}"
70,00:01:10,97,fear,"{'emotion': {'angry': 0.0718446592298489, 'disgust': 1.6364434822134355, 'fear': 94.16422774365279, 'happy': 0.33632106431675723, 'sad': 0.12869330027396086, 'surprise': 3.6096163671751462, 'neutral': 0.05285825511986078}, 'dominant_emotion': 'fear'}"
71,00:01:11,98,happy,"{'emotion': {'angry': 0.0013442037817128394, 'disgust': 2.9657517360393945e-10, 'fear': 0.00022405939915548222, 'happy': 96.03446102347738, 'sad': 3.9637813844550482, 'surprise': 9.86657776142803e-10, 'neutral': 0.00018900449266457002}, 'dominant_emotion': 'happy'}"
72,00:01:12,101,angry,"{'emotion': {'angry': 51.2309728585514, 'disgust': 3.9983360918359647, 'fear': 2.0917713011179804, 'happy': 0.20216139883114115, 'sad': 3.0389057574980547, 'surprise': 38.39628238722296, 'neutral': 1.0415662701050914}, 'dominant_emotion': 'angry'}"
73,00:01:13,102,sad,"{'emotion': {'angry': 0.012441212283470508, 'disgust': 2.4859149967159206e-09, 'fear': 0.7333038897599113, 'happy': 0.08464147841175158, 'sad': 99.16919479737344, 'surprise': 7.987867769277378e-11, 'neutral': 0.0004155820038511916}, 'dominant_emotion': 'sad'}"
74,00:01:14,102,sad,"{'emotion': {'angry': 0.04370849928818643, 'disgust': 1.5312390244659468e-09, 'fear': 0.012783145939465612, 'happy': 6.5802134573459625, 'sad': 93.33924651145935, 'surprise': 1.347063016687855e-08, 'neutral': 0.02404934202786535}, 'dominant_emotion': 'sad'}"
75,00:01:15,103,surprise,"{'emotion': {'angry': 0.002755005188097093, 'disgust': 0.00023433000868489863, 'fear': 1.0113008046089644, 'happy': 0.12609304055580015, 'sad': 0.01784626298181558, 'surprise': 98.8275052514666, 'neutral': 0.014259715436265268}, 'dominant_emotion': 'surprise'}"
76,00:01:16,106,disgust,"{'emotion': {'angry': 22.990463434513025, 'disgust': 45.87190996073603, 'fear': 21.88391052292711, 'happy': 0.09999361382721231, 'sad': 0.4371245912760009, 'surprise': 7.79665503462017, 'neutral': 0.9199528188947224}, 'dominant_emotion': 'disgust'}"
77,00:01:17,108,angry,"{'emotion': {'angry': 88.80599274563876, 'disgust': 7.858824538132604, 'fear': 3.004707596634913, 'happy': 0.011836049860562773, 'sad': 0.051364960079346884, 'surprise': 0.19605704574351956, 'neutral': 0.07120985270956424}, 'dominant_emotion': 'angry'}"
78,00:01:18,110,neutral,"{'emotion': {'angry': 8.387931436300278, 'disgust': 0.0006017165105731692, 'fear': 18.01290214061737, 'happy': 0.09706226410344243, 'sad': 2.7601806446909904, 'surprise': 1.8308136612176895, 'neutral': 68.91050934791565}, 'dominant_emotion': 'neutral'}"
79,00:01:19,111,fear,"{'emotion': {'angry': 17.151145169207165, 'disgust': 27.855153552004907, 'fear': 38.506733686133245, 'happy': 0.06633061379674755, 'sad': 1.169474958299098, 'surprise': 2.782392481410055, 'neutral': 12.468773124740906}, 'dominant_emotion': 'fear'}"
80,00:01:20,111,surprise,"{'emotion': {'angry': 0.029055445338599384, 'disgust': 0.0014284688404586632, 'fear': 3.5715166479349136, 'happy': 0.3218137426301837, 'sad': 0.04222155548632145, 'surprise': 76.57175660133362, 'neutral': 19.462208449840546}, 'dominant_emotion': 'surprise'}"
81,00:01:21,112,angry,"{'emotion': {'angry': 62.700477999477265, 'disgust': 4.934276215292563e-06, 'fear': 24.879826598157084, 'happy': 4.259090751951382, 'sad': 7.962675122182079, 'surprise': 0.013631818813678254, 'neutral': 0.18429352137705812}, 'dominant_emotion': 'angry'}"
82,00:01:22,113,happy,"{'emotion': {'angry': 1.7874080687761307, 'disgust': 3.386541394534426e-09, 'fear': 0.047852040734142065, 'happy': 59.52841639518738, 'sad': 38.345640897750854, 'surprise': 7.978609994907515e-08, 'neutral': 0.29067774303257465}, 'dominant_emotion': 'happy'}"
